docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,,,,,,,,,
203,94-m.txt,14,0.319,12,0.154,6,0.11,13,0.077,9,0.077,10,0.055,,,,,,,,,,
8,105-f.txt,13,0.198,4,0.173,3,0.099,12,0.086,5,0.086,11,0.062,8,0.062,,,,,,,,
19,115-f.txt,13,0.336,12,0.23,14,0.09,2,0.082,,,,,,,,,,,,,,
27,122-m.txt,13,0.349,9,0.109,6,0.069,14,0.063,7,0.057,11,0.051,3,0.051,,,,,,,,
51,144-f.txt,13,0.303,8,0.156,5,0.081,9,0.076,12,0.071,7,0.057,,,,,,,,,,
61,153-f.txt,13,0.266,12,0.147,15,0.11,11,0.101,14,0.073,4,0.073,7,0.064,5,0.064,,,,,,
77,168-m.txt,13,0.339,5,0.213,12,0.063,9,0.063,15,0.055,3,0.055,2,0.055,,,,,,,,
82,172-f.txt,13,0.227,9,0.108,7,0.097,10,0.091,5,0.074,15,0.068,3,0.068,8,0.057,14,0.051,,,,
111,199-f.txt,13,0.286,5,0.095,9,0.089,10,0.083,2,0.083,14,0.077,1,0.065,12,0.06,,,,,,
112,2-f.txt,13,0.146,10,0.125,7,0.125,3,0.104,11,0.083,1,0.083,9,0.063,6,0.063,5,0.063,,,,
184,77-f.txt,13,0.204,8,0.148,9,0.13,10,0.111,4,0.065,15,0.056,11,0.056,7,0.056,,,,,,
185,78-f.txt,13,0.261,10,0.21,14,0.076,4,0.064,6,0.057,5,0.057,3,0.057,1,0.057,,,,,,
199,90-m.txt,13,0.416,9,0.129,10,0.089,3,0.079,14,0.074,12,0.054,,,,,,,,,,
204,95-m.txt,13,0.238,9,0.113,14,0.106,10,0.093,7,0.093,4,0.086,6,0.066,1,0.053,,,,,,
18,114-f.txt,12,0.321,10,0.192,3,0.143,,,,,,,,,,,,,,,,
31,126-f.txt,12,0.31,10,0.092,7,0.092,11,0.08,3,0.069,2,0.069,5,0.057,,,,,,,,
49,142-f.txt,12,0.425,15,0.087,8,0.075,3,0.063,11,0.05,,,,,,,,,,,,
50,143-f.txt,12,0.391,10,0.138,14,0.08,8,0.065,11,0.051,5,0.051,,,,,,,,,,
57,15-f.txt,12,0.235,2,0.111,10,0.099,7,0.099,15,0.086,9,0.086,4,0.074,3,0.062,,,,,,
65,157-f.txt,12,0.14,3,0.14,10,0.12,5,0.12,6,0.1,15,0.08,4,0.06,2,0.06,1,0.06,,,,
72,163-f.txt,12,0.276,10,0.172,15,0.092,2,0.092,4,0.08,14,0.069,,,,,,,,,,
80,170-f.txt,12,0.285,7,0.154,13,0.109,10,0.072,4,0.063,3,0.054,,,,,,,,,,
118,204-m.txt,12,0.433,8,0.092,11,0.079,3,0.067,2,0.063,6,0.054,,,,,,,,,,
139,36-f.txt,12,0.26,14,0.13,2,0.097,1,0.097,9,0.058,6,0.058,,,,,,,,,,
144,40-f.txt,12,0.184,3,0.146,14,0.136,15,0.087,8,0.068,4,0.068,10,0.058,5,0.058,,,,,,
162,57-m.txt,12,0.275,2,0.148,11,0.092,7,0.092,9,0.07,5,0.07,8,0.063,,,,,,,,
180,73-u.txt,12,0.287,13,0.127,10,0.122,2,0.105,3,0.072,11,0.066,6,0.055,5,0.055,,,,,,
187,8-f.txt,12,0.447,11,0.087,13,0.078,2,0.068,,,,,,,,,,,,,,
26,121-m.txt,11,0.2,14,0.189,3,0.095,15,0.084,5,0.074,13,0.063,8,0.063,2,0.063,,,,,,
70,161-f.txt,11,0.394,5,0.083,2,0.077,14,0.064,13,0.058,8,0.054,,,,,,,,,,
74,165-f.txt,11,0.431,1,0.128,3,0.087,13,0.05,8,0.05,6,0.05,,,,,,,,,,
132,3-m.txt,11,0.553,8,0.072,15,0.055,7,0.051,,,,,,,,,,,,,,
153,49-m.txt,11,0.355,5,0.127,12,0.088,10,0.079,15,0.064,7,0.058,,,,,,,,,,
165,6-f.txt,11,0.238,15,0.14,13,0.14,2,0.122,10,0.091,6,0.055,,,,,,,,,,
6,103-m.txt,10,0.266,11,0.209,12,0.102,5,0.062,7,0.056,6,0.056,,,,,,,,,,
17,113-f.txt,10,0.399,14,0.095,12,0.074,9,0.061,3,0.061,6,0.054,4,0.054,,,,,,,,
42,136-f.txt,10,0.185,7,0.175,6,0.153,2,0.09,14,0.063,9,0.053,8,0.053,3,0.053,,,,,,
48,141-f.txt,10,0.346,13,0.099,15,0.068,2,0.068,7,0.062,5,0.062,,,,,,,,,,
54,147-f.txt,10,0.33,12,0.187,11,0.074,2,0.074,7,0.064,,,,,,,,,,,,
78,169-m.txt,10,0.246,14,0.135,2,0.127,12,0.095,5,0.087,3,0.079,8,0.056,,,,,,,,
79,17-u.txt,10,0.143,9,0.111,1,0.111,14,0.079,13,0.079,11,0.079,7,0.079,6,0.063,5,0.063,,,,
100,189-f.txt,10,0.276,2,0.103,6,0.096,13,0.083,12,0.077,11,0.064,14,0.058,5,0.051,,,,,,
