docId,filename,top topics, and contribution to doc ...,,,,,,,,,,,,
135,32-m.txt,85,0.145,84,0.118,21,0.072,13,0.053,,,,,,
190,82-f.txt,84,0.399,,,,,,,,,,,,
207,98-m.txt,84,0.181,72,0.074,75,0.064,58,0.053,45,0.053,,,,
142,39-m.txt,83,0.411,67,0.056,,,,,,,,,,
1,1-m.txt,81,0.357,92,0.054,,,,,,,,,,
4,101-m.txt,80,0.213,65,0.107,83,0.08,46,0.067,,,,,,
10,107-m.txt,80,0.33,82,0.064,6,0.053,,,,,,,,
29,124-f.txt,80,0.089,67,0.076,45,0.076,27,0.063,96,0.051,90,0.051,82,0.051
8,105-f.txt,79,0.21,65,0.086,99,0.062,43,0.062,37,0.062,,,,
187,8-f.txt,79,0.252,76,0.087,99,0.068,52,0.058,,,,,,
50,143-f.txt,78,0.225,97,0.152,67,0.08,38,0.072,,,,,,
72,163-f.txt,78,0.172,64,0.08,48,0.069,61,0.057,,,,,,
118,204-m.txt,78,0.321,99,0.075,64,0.071,92,0.067,33,0.054,,,,
144,40-f.txt,78,0.087,85,0.068,67,0.068,59,0.058,26,0.058,,,,
166,60-f.txt,78,0.187,8,0.088,12,0.082,86,0.071,26,0.071,,,,
75,166-m.txt,77,0.219,81,0.148,91,0.052,,,,,,,,
138,35-f.txt,77,0.28,26,0.126,,,,,,,,,,
155,50-m.txt,77,0.235,75,0.055,45,0.055,66,0.05,,,,,,
175,69-f.txt,77,0.139,75,0.098,64,0.092,57,0.069,,,,,,
184,77-f.txt,77,0.176,87,0.102,85,0.056,50,0.056,,,,,,
94,183-f.txt,76,0.255,26,0.075,66,0.062,20,0.062,99,0.056,,,,
205,96-m.txt,76,0.348,67,0.063,43,0.063,41,0.054,,,,,,
86,176-f.txt,75,0.077,74,0.077,40,0.077,,,,,,,,
22,118-m.txt,74,0.403,88,0.058,,,,,,,,,,
53,146-m.txt,74,0.221,7,0.136,61,0.079,57,0.079,,,,,,
33,128-f.txt,73,0.271,43,0.084,74,0.06,70,0.06,,,,,,
157,52-f.txt,73,0.181,86,0.117,33,0.058,,,,,,,,
176,7-f.txt,73,0.207,12,0.114,90,0.086,75,0.057,,,,,,
189,81-f.txt,73,0.263,17,0.137,99,0.073,96,0.054,,,,,,
192,84-f.txt,71,0.283,38,0.165,99,0.071,64,0.052,,,,,,
35,13-m.txt,70,0.226,52,0.081,79,0.073,27,0.073,60,0.065,,,,
153,49-m.txt,70,0.285,39,0.097,,,,,,,,,,
180,73-u.txt,70,0.271,8,0.072,,,,,,,,,,
63,155-u.txt,69,0.158,44,0.158,92,0.058,67,0.058,13,0.058,42,0.05,,
141,38-f.txt,69,0.213,60,0.084,77,0.071,20,0.058,53,0.052,,,,
159,54-m.txt,69,0.408,,,,,,,,,,,,
161,56-m.txt,68,0.472,31,0.06,59,0.056,,,,,,,,
100,189-f.txt,66,0.147,9,0.135,43,0.058,33,0.058,75,0.051,,,,
128,26-m.txt,66,0.14,76,0.123,30,0.105,92,0.053,37,0.053,,,,
12,109-m.txt,65,0.37,29,0.087,,,,,,,,,,
129,27-m.txt,65,0.167,5,0.125,92,0.083,26,0.083,20,0.083,,,,
124,22-m.txt,64,0.13,92,0.109,60,0.087,81,0.065,24,0.065,8,0.065,,
198,9-m.txt,64,0.283,35,0.1,,,,,,,,,,
24,12-m.txt,63,0.228,82,0.081,39,0.073,31,0.057,,,,,,
164,59-m.txt,63,0.316,94,0.111,,,,,,,,,,
165,6-f.txt,63,0.177,50,0.116,82,0.098,17,0.067,,,,,,
11,108-m.txt,62,0.27,91,0.09,45,0.072,29,0.054,,,,,,
110,198-f.txt,62,0.3,9,0.12,82,0.06,69,0.06,26,0.06,18,0.06,,
149,45-u.txt,62,0.35,72,0.066,5,0.066,99,0.051,27,0.051,,,,
26,121-m.txt,61,0.095,90,0.074,27,0.074,83,0.063,,,,,,
143,4-u.txt,61,0.174,43,0.132,62,0.107,81,0.099,,,,,,
81,171-f.txt,60,0.488,,,,,,,,,,,,
139,36-f.txt,60,0.26,29,0.065,,,,,,,,,,
197,89-m.txt,60,0.217,48,0.063,46,0.063,34,0.063,,,,,,
186,79-m.txt,59,0.364,86,0.121,85,0.091,66,0.068,,,,,,
136,33-m.txt,58,0.328,92,0.053,,,,,,,,,,
36,130-m.txt,57,0.317,23,0.061,,,,,,,,,,
85,175-f.txt,57,0.313,33,0.117,73,0.061,29,0.056,,,,,,
37,131-m.txt,56,0.328,6,0.063,,,,,,,,,,
174,68-m.txt,56,0.353,45,0.059,57,0.052,,,,,,,,
32,127-f.txt,55,0.238,94,0.089,,,,,,,,,,
148,44-f.txt,55,0.131,24,0.112,21,0.065,,,,,,,,
171,65-f.txt,55,0.407,21,0.078,82,0.052,,,,,,,,
56,149-f.txt,54,0.364,,,,,,,,,,,,
204,95-m.txt,54,0.331,,,,,,,,,,,,
55,148-f.txt,53,0.219,51,0.087,46,0.053,,,,,,,,
107,195-f.txt,53,0.204,93,0.071,79,0.071,90,0.051,46,0.051,23,0.051,,
54,147-f.txt,52,0.187,29,0.079,9,0.074,33,0.059,43,0.054,,,,
108,196-f.txt,52,0.223,67,0.074,6,0.068,87,0.061,,,,,,
162,57-m.txt,52,0.387,43,0.063,33,0.063,,,,,,,,
3,100-m.txt,51,0.374,46,0.05,,,,,,,,,,
5,102-m.txt,50,0.44,89,0.05,6,0.05,,,,,,,,
39,133-f.txt,50,0.289,82,0.133,48,0.067,90,0.056,,,,,,
127,25-m.txt,50,0.203,91,0.101,82,0.058,,,,,,,,
169,63-f.txt,50,0.355,96,0.074,,,,,,,,,,
