topicId,rank,docId,filename
1,92,136,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/33-m.txt
1,93,130,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/28-m.txt
1,94,124,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/22-m.txt
1,95,121,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/207-f.txt
1,96,116,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/202-f.txt
1,97,113,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/20-m.txt
1,98,100,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/189-f.txt
1,99,94,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/183-f.txt
1,100,93,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/182-f.txt
1,101,87,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/177-m.txt
1,102,84,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/174-f.txt
1,103,82,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/172-f.txt
1,104,81,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/171-f.txt
1,105,72,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/163-f.txt
1,106,69,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/160-f.txt
1,107,64,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/156-f.txt
1,108,58,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/150-f.txt
1,109,52,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/145-f.txt
1,110,46,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/14-m.txt
1,111,40,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/134-f.txt
1,112,39,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/133-f.txt
1,113,30,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/125-f-WOLFENBACH.txt
1,114,29,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/124-f.txt
1,115,27,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/122-m.txt
1,116,26,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/121-m.txt
1,117,24,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/12-m.txt
1,118,13,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/11-f.txt
1,119,11,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/108-m.txt
1,120,208,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/99-m.txt
1,121,207,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/98-m.txt
1,122,205,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/96-m.txt
1,123,202,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/93-u.txt
1,124,201,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/92-f.txt
1,125,200,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/91-m.txt
1,126,196,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/88-m.txt
1,127,195,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/87-m.txt
1,128,185,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/78-f.txt
1,129,184,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/77-f.txt
1,130,181,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/74-m.txt
1,131,180,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/73-u.txt
1,132,178,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/71-m.txt
1,133,168,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/62-f.txt
1,134,167,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/61-f.txt
1,135,165,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/6-f.txt
1,136,158,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/53-m.txt
1,137,154,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/5-u.txt
1,138,152,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/48-m.txt
1,139,148,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/44-f.txt
1,140,146,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/42-m.txt
1,141,143,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/4-u.txt
