docId,filename,top topics, and contribution to doc ...
137,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/33-m.txt,1,1.000
138,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/34-f.txt,1,1.000
139,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/35-f.txt,1,1.000
140,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/36-f.txt,1,1.000
141,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/37-f.txt,1,1.000
142,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/38-f.txt,1,1.000
143,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/39-m.txt,1,1.000
144,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/4-u.txt,1,1.000
145,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/40-f.txt,1,1.000
146,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/41-f.txt,1,1.000
147,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/42-m.txt,1,1.000
148,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/43-m.txt,1,1.000
149,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/44-f.txt,1,1.000
150,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/45-u.txt,1,1.000
151,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/46-m.txt,1,1.000
152,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/47-m.txt,1,1.000
153,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/48-m.txt,1,1.000
154,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/49-m.txt,1,1.000
155,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/5-u.txt,1,1.000
156,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/50-m.txt,1,1.000
157,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/51-m.txt,1,1.000
158,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/52-f.txt,1,1.000
159,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/53-m.txt,1,1.000
160,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/54-m.txt,1,1.000
161,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/55-m.txt,1,1.000
162,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/56-m.txt,1,1.000
163,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/57-m.txt,1,1.000
164,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/58-m.txt,1,1.000
165,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/59-m.txt,1,1.000
166,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/6-f.txt,1,1.000
167,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/60-f.txt,1,1.000
168,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/61-f.txt,1,1.000
169,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/62-f.txt,1,1.000
170,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/63-f.txt,1,1.000
171,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/64-f.txt,1,1.000
172,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/65-f.txt,1,1.000
173,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/66-m.txt,1,1.000
174,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/67-m.txt,1,1.000
175,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/68-m.txt,1,1.000
176,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/69-f.txt,1,1.000
177,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/7-f.txt,1,1.000
178,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/70-m.txt,1,1.000
179,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/71-m.txt,1,1.000
180,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/72-m.txt,1,1.000
181,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/73-u.txt,1,1.000
182,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/74-m.txt,1,1.000
183,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/75-m.txt,1,1.000
184,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/76-m.txt,1,1.000
185,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/77-f.txt,1,1.000
186,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/78-f.txt,1,1.000
187,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/79-m.txt,1,1.000
188,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/8-f.txt,1,1.000
189,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/80-f.txt,1,1.000
190,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/81-f.txt,1,1.000
191,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/82-f.txt,1,1.000
192,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/83-f.txt,1,1.000
193,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/84-f.txt,1,1.000
194,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/85-m.txt,1,1.000
195,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/86-m.txt,1,1.000
196,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/87-m.txt,1,1.000
197,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/88-m.txt,1,1.000
198,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/89-m.txt,1,1.000
199,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/9-m.txt,1,1.000
200,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/90-m.txt,1,1.000
201,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/91-m.txt,1,1.000
202,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/92-f.txt,1,1.000
203,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/93-u.txt,1,1.000
204,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/94-m.txt,1,1.000
205,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/95-m.txt,1,1.000
206,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/96-m.txt,1,1.000
207,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/97-m.txt,1,1.000
208,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/98-m.txt,1,1.000
209,/Users/lawrence/Desktop/MASTERS-ESSAY/SUMMARIES/99-m.txt,1,1.000
